objectid,parentid,title,creator,date,date-is-approximate?,description,physicaldescription,subject,location,latitude,longitude,source,type,format,language,rights,rightsstatement,display_template,object_location,identifier,image_small,image_thumb,image_alt_text,object_transcript
wiharchive048,wiharchive046,"W.I. (Bill) Hann in uniform in full kit, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0032.jpg,WIHWWII1940_20240831_0032,objects/small/wihwwii1940_20240831_0032_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0032_th.jpg,,
wiharchive049,,W.I. (Bill) Hann in uniform in full kit from the side,Christopher Crocker,1940-08-01,,A photo of W.I. (Bill) Hann standing in a field wearing his army uniform in full kit viewed from the side taken in [East Anglia] England,1 black and white photograph; 8.5 x 6 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0033_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0033_th.jpg,,
wiharchive050,wiharchive049,"W.I. (Bill) Hann in uniform in full kit from the side, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0033.jpg,WIHWWII1940_20240831_0033,objects/small/wihwwii1940_20240831_0033_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0033_th.jpg,"The image is a black and white photograph of a soldier standing in profile on an open field. The soldier is dressed in a heavy coat and wearing a helmet. He carries a large backpack and several pouches attached to his belt. In his right hand, he holds a rifle with the butt of the gun resting on the ground. The field is grassy, extending to a line of trees in the background",
wiharchive051,wiharchive049,"W.I. (Bill) Hann in uniform in full kit from the side, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0034.jpg,WIHWWII1940_20240831_0034,objects/small/wihwwii1940_20240831_0034_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0034_th.jpg,,
wiharchive052,,W.I. (Bill) Hann in uniform in full kit at attention,Christopher Crocker,1940-08-01,,A photo of W.I. (Bill) Hann standing in a field wearing his army uniform in full kit standing at attention taken in [East Anglia] England,1 black and white photograph; 8.5 x 6 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0035_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0035_th.jpg,,
wiharchive053,wiharchive052,"W.I. (Bill) Hann in uniform in full kit at attention, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0035.jpg,WIHWWII1940_20240831_0035,objects/small/wihwwii1940_20240831_0035_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0035_th.jpg,"The image is a black and white photograph depicting a soldier standing in a grassy field. The soldier is wearing a long coat and a helmet, with a large backpack strapped to his front and additional gear on his back. He holds a rifle upright by his side. The background features a line of trees",
wiharchive054,wiharchive052,"W.I. (Bill) Hann in uniform in full kit at attention, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0036.jpg,WIHWWII1940_20240831_0036,objects/small/wihwwii1940_20240831_0036_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0036_th.jpg,,
wiharchive055,,W.I. (Bill) Hann in uniform with rain cape,Christopher Crocker,1940-08-01,,A photo of W.I. (Bill) Hann standing in a field wearing his army uniform with a rain cape taken in [East Anglia] England,1 black and white photograph; 8.5 x 6 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0037_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0037_th.jpg,,
wiharchive056,wiharchive055,"W.I. (Bill) Hann in uniform with rain cape, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0037.jpg,WIHWWII1940_20240831_0037,objects/small/wihwwii1940_20240831_0037_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0037_th.jpg,"The black and white photograph features a person standing in an open grassy field. The individual is wearing a military-style helmet and a large cape that covers most of their body. The person is smiling and holding a rifle vertically in one hand. In the background, there are several trees with dense foliage",
wiharchive057,wiharchive055,"W.I. (Bill) Hann in uniform with rain cape, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0038.jpg,WIHWWII1940_20240831_0038,objects/small/wihwwii1940_20240831_0038_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0038_th.jpg,,
wiharchive058,,W.I. (Bill) Hann in uniform with gas mask,Christopher Crocker,1940-08-01,,A photo of W.I. (Bill) Hann standing in a field wearing his army uniform with a gas mask taken in [East Anglia] England,1 black and white photograph; 8.5 x 6 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0039_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0039_th.jpg,,
wiharchive059,wiharchive058,"W.I. (Bill) Hann in uniform with gas mask, front",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0039.jpg,WIHWWII1940_20240831_0039,objects/small/wihwwii1940_20240831_0039_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0039_th.jpg,"The black and white photograph depicts a person dressed in military attire, standing on a grassy field. The individual is wearing a gas mask with large circular eye lenses and a protruding filter, alongside a helmet. A uniform, consisting of a buttoned jacket and trousers, is worn along with sturdy boots. The background shows a line of trees",
wiharchive060,wiharchive058,"W.I. (Bill) Hann in uniform with gas mask, back",,1940-08-01,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0040.jpg,WIHWWII1940_20240831_0040,objects/small/wihwwii1940_20240831_0040_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0040_th.jpg,,
wiharchive061,,Portrait photo of two NL soldiers,Christopher Crocker,1940-08-11,,"A portrait photo of Lloyd Randell and Herb Matthews taken in Yarmouth, England; W.I. (Bill) Hann has been clipped from the photo",1 black and white photograph; 8 x 9 cm,Photograph,"Yarmouth, England",52.603493,1.738379,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0041_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0041_th.jpg,,
wiharchive062,wiharchive061,"Portrait photo of two NL soldiers, front",,1940-08-11,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0041.jpg,WIHWWII1940_20240831_0041,objects/small/wihwwii1940_20240831_0041_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0041_th.jpg,"The image is a black and white photograph of two men in military uniforms, seated side by side. On the left, a man is dressed in a naval uniform, identifiable by the sailor's hat marked ""H.M.S. DRAKE"" and a traditional striped collar with a tied front. His expression is neutral, with a slight smile. On the right, the second man is wearing a military uniform with a high-collared jacket featuring two pockets on the chest. He is also wearing a cap with a badge. The background is plain",
wiharchive063,wiharchive061,"Portrait photo of two NL soldiers, back",,1940-08-11,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0042.jpg,WIHWWII1940_20240831_0042,objects/small/wihwwii1940_20240831_0042_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0042_th.jpg,,
wiharchive064,,Portrait photo of three NL soldiers,Christopher Crocker,1940-08-11,,"A portrait photo of W.I. (Bill) Hann, Lloyd Randell, and Herb Matthews taken in Yarmouth, England",1 sepia toned photograph; 8.5 x 12 cm,Photograph,"Yarmouth, England",52.603493,1.738379,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0043_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0043_th.jpg,,
wiharchive065,wiharchive064,"Portrait photo of three NL soldiers, front",,1940-08-11,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0043.jpg,WIHWWII1940_20240831_0043,objects/small/wihwwii1940_20240831_0043_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0043_th.jpg,"The image is an aged sepia-toned photograph showing three men in military uniforms, suggesting a historical context, possibly World War II. The man on the left and the man on the right wear similar uniforms with button-up jackets and berets, while the man in the center wears a naval uniform with a sailor's hat. The photograph is creased and has visible wear, including a torn lower right corner and spots of discoloration at the top.",
wiharchive066,wiharchive064,"Portrait photo of three NL soldiers, back",,1940-08-11,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0044.jpg,WIHWWII1940_20240831_0044,objects/small/wihwwii1940_20240831_0044_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0044_th.jpg,,
wiharchive067,,A greeting card sent by W.I. (Bill) Hann with photo,Christopher Crocker,1940-08,yes,A greeting card sent by W.I. (Bill) Hann to his aunt Edith (née Hann) and Uncle Bill Chipp featuring a portrait photo of himself,A folded four page greeting card containing 1 black and white photograph; 15 x 22 cm,Document,"Yarmouth, England",52.603493,1.738379,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0046_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0046_th.jpg,,
wiharchive068,wiharchive067,"A greeting card sent by W.I. (Bill) Hann with photo, outside",,1940-08,yes,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0046.jpg,WIHWWII1940_20240831_0046,objects/small/wihwwii1940_20240831_0046_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0046_th.jpg,,
wiharchive069,wiharchive067,"A greeting card sent by W.I. (Bill) Hann with photo, inside",,1940-08,yes,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0045.jpg,WIHWWII1940_20240831_0045,objects/small/wihwwii1940_20240831_0045_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0045_th.jpg,"The image features a sepia-toned photograph of a young man in military attire on the right side, enclosed in an aged paper frame with rounded corners. He is wearing a uniform with visible buttons and shoulder straps, and a cap with an insignia. The backdrop is plain, emphasizing the subject. On the left side, there's handwritten text on the aged paper, which has a slightly textured surface. The paper is folded to create a card-like appearance, and there is a small tear at the bottom right corner. A brownish stain is visible on the top right side of the paper.",
wiharchive070,,Portrait photo of W.I. (Bill) Hann,Christopher Crocker,1940-08,yes,"A portrait photo of W.I. (Bill) Hann taken in Yarmouth, England",1 black and white photograph; 12.5 x 8 cm,Photograph,"Yarmouth, England",52.603493,1.738379,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0047_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0047_th.jpg,,
wiharchive071,wiharchive070,"Portrait photo of W.I. (Bill) Hann, front",,1940-08,yes,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0047.jpg,WIHWWII1940_20240831_0047,objects/small/wihwwii1940_20240831_0047_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0047_th.jpg,"The image is a sepia-toned vintage portrait photograph of a man dressed in military uniform. He is looking directly at the camera with a slight smile. The man is wearing a peaked cap with insignia, which includes a badge on the front. His uniform includes a high-collared jacket with prominent buttons on each shoulder. The image appears old, with visible creases and worn edges, typical of aged photographs. The background is plain, highlighting the subject.",
wiharchive072,wiharchive070,"Portrait photo of W.I. (Bill) Hann, back",,1940-08,yes,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0048.jpg,WIHWWII1940_20240831_0047,objects/small/wihwwii1940_20240831_0048_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0048_th.jpg,,
wiharchive073,,W.I. (Bill) Hann shaving,Christopher Crocker,1940-08-21,,A photo of W.I. (Bill) Hann shaving using a mirror held by A.C. Baker taken somewhere in [East Anglia] England,1 black and white photograph; 12.5 x 8 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0049_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0049_th.jpg,,
wiharchive074,wiharchive073,"W.I. (Bill) Hann shaving, front",,1940-08-21,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0049.jpg,WIHWWII1940_20240831_0049,objects/small/wihwwii1940_20240831_0049_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0049_th.jpg,"The black and white photograph depicts two men outdoors, set against a background of dense foliage. The man on the left is shirtless, wearing trousers and boots, and appears to be shaving with a straight razor, holding a mirror near his face. Beside him on the grass is a basin and a pile of cloth or towels. The man on the right is standing, dressed in dark trousers and a sweater, with a towel draped over his shoulder, smiling and holding what appears to be a camera or another object. Behind them is a rustic wooden fence, and the ground is covered with grass.",
wiharchive075,wiharchive073,"W.I. (Bill) Hann shaving, back",,1940-08-21,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0050.jpg,WIHWWII1940_20240831_0050,objects/small/wihwwii1940_20240831_0050_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0050_th.jpg,,
wiharchive076,,Four soldiers shaving,Christopher Crocker,1940-08-21,,"A photo of Buster Winslow, W.I. (Bill) Hann, Bill Butt, and A.C. Baker taken somewhere in [East Anglia] England",1 black and white photograph; 11 x 6.5 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0051_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0051_th.jpg,,
wiharchive077,wiharchive076,"Four soldiers shaving, front",,1940-08-21,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0051.jpg,WIHWWII1940_20240831_0051,objects/small/wihwwii1940_20240831_0051_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0051_th.jpg,"The black and white photograph depicts four men outdoors, possibly during a playful moment of shaving or washing up. They are standing close together on a grassy area bordered by dense foliage and wooden fencing. Each man is partially dressed, wearing trousers and either undershirts or no shirt at all. The first man on the left holds a metal bowl, while the second and third men have shaving cream on their faces, one holding a straight razor. The fourth man laughs with a towel draped around his neck. The image shows signs of wear, with creases and scratches visible.",
wiharchive078,wiharchive076,"Four soldiers shaving, back",,1940-08-21,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0052.jpg,WIHWWII1940_20240831_0052,objects/small/wihwwii1940_20240831_0052_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0052_th.jpg,,
wiharchive079,,W.I. (Bill) Hann in uniform,Christopher Crocker,1940-08-21,,A photo of W.I. (Bill) Hann standing in a field wearing his army uniform in full kit taken in [East Anglia] England,1 black and white photograph; 11 x 6.5 cm,Photograph,"East Anglia, England",52.5000,1.0000,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0053_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0053_th.jpg,,
wiharchive080,wiharchive079,"W.I. (Bill) Hann in uniform, front",,1940-08-21,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0053.jpg,WIHWWII1940_20240831_0053,objects/small/wihwwii1940_20240831_0053_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0053_th.jpg,"The image is a black and white photograph depicting a soldier standing in a grassy field. He is wearing a military uniform with a helmet and is carrying a rifle in his right hand, which is pointed downwards. His uniform includes a woolen overcoat, pants with large pockets, and boots. He also has a large backpack strapped to his chest. In the background, there are trees at a distance, and the sky appears overcast, suggesting the photograph was taken during the day. The photograph shows some signs of aging, such as creases and a slight tear at the top edge.",
wiharchive081,wiharchive079,"W.I. (Bill) Hann in uniform, back",,1940-08-21,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0054.jpg,WIHWWII1940_20240831_0054,objects/small/wihwwii1940_20240831_0054_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0054_th.jpg,,
wiharchive082,,"Newspaper clipping from the Daily News, October 11, 1940",Christopher Crocker,1940-10-11,,A newspaper clipping reporting ont he first Newfoundland gun crew to fire a 9.2 Howitzer (Howey) gun,,Newspaper clipping,"East Anglia, England",52.5000,1.0000,Memorial University Digital Archives Initiative,Image;StillImage,image/png,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,image,objects/WIHWWII1940_20240831_0059.png,WIHWWII1940_20240831_0059,objects/small/wihwwii1940_20240831_0059_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0059_th.jpg,"The image is a black and white newspaper clipping titled ""First Gun Crew To Fire Howey Nfld. Artillery."" It contains a text block detailing information about a gun crew in the Royal Artillery. The article describes the event of the first gun crew firing a 9.2 Howey in the 57th Nfld. Heavy Regiment on July 13th at 1:20 p.m. Various individuals are listed with their ranks, names, and locations. The text is formatted in narrow justified columns typical of newspaper print, with the title in a bold, larger font.",
wiharchive083,,Portrait photo of W.I. (Bill) Hann,Christopher Crocker,1940-12-24,,A portrait photo of W.I. (Bill) Hann wearing his army uniform,1 black and white photograph; 24.5 x 17.5 cm,Photograph,,,,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0055_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0055_th.jpg,,
wiharchive084,wiharchive083,"Portrait photo of W.I. (Bill) Hann, front",,1940-12-24,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0055.jpg,WIHWWII1940_20240831_0055,objects/small/wihwwii1940_20240831_0055_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0055_th.jpg,,
wiharchive085,wiharchive083,"Portrait photo of W.I. (Bill) Hann, back",,1940-12-24,,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0056.jpg,WIHWWII1940_20240831_0056,objects/small/wihwwii1940_20240831_0056_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0056_th.jpg,,
wiharchive086,,"Photo of W.I. (Bill) Hann with his brother, sister, and niece",Christopher Crocker,1940-10,yes,"A photo of W.I. (Bill) and Harold Hann, their sister Elsie, and her daughter Kathleen sitting on a sofa",1 black and white photograph; 9 x 14 cm,Photograph,"Glasgow, Scotland",55.863560,-4.236922,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,objects/small/wihwwii1940_20240831_0057_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0057_th.jpg,,
wiharchive087,wiharchive086,"Photo of W.I. (Bill) Hann with his brother, sister, and niece, front",,1940-10,yes,,,,,,,,Image;StillImage,image/jpeg,,,,image,objects/WIHWWII1940_20240831_0057.jpg,WIHWWII1940_20240831_0057,objects/small/wihwwii1940_20240831_0057_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0057_th.jpg,"This is a black and white photograph showing a group of four individuals sitting together on a patterned couch. On the left, a man in a military uniform with a hat is seated. Next to him, a woman in a dark dress with a pearl necklace sits, smiling. In the center front, a young child in a light-colored dress with short hair is perched, looking at the camera. To the right, another man in a similar military uniform and hat is seated, also smiling. The backdrop is plain, possibly a curtain, creating a focused composition around the individuals.",
wiharchive088,wiharchive086,"Photo of W.I. (Bill) Hann with his brother, sister, and niece, back",,1940-10,yes,,,,,,,,Image;StillImage,image/jpeg,,,,image,/objectsWIHWWII1940_20240831_0058.jpg,WIHWWII1940_20240831_0058,objects/small/wihwwii1940_20240831_0058_sm.jpg,/objects/thumbs/wihwwii1940_20240831_0058_th.jpg,,
wiharchive089,,Victor and W.I. (Bill) Hann,Christopher Crocker,1941-03-17,,"A photo of Victor and W.I. (Bill) Hann seated, drinking tea or coffee, and smoking at the Red Shield Club in Norwich, England",1 black and white photograph; 16.5 x 12 cm,Photograph,"Norwich, England",52.630886,1.297355,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,/objects/small/wihwwii1941_20240831_0001_sm.jpg,/objects/thumbs/wihwwii1941_20240831_0001_th.jpg,,
wiharchive090,wiharchive089,"Victor and W.I. (Bill) Hann, front",,1941-03-17,,,,,,,,,Image;StillImage,image/jpeg,,,,image,/objects/WIHWWII1941_20240831_0001.jpg,WIHWWII1941_20240831_0001,/objects/small/wihwwii1941_20240831_0001_sm.jpg,/objects/thumbs/wihwwii1941_20240831_0001_th.jpg,,
wiharchive091,wiharchive089,"Victor and W.I. (Bill) Hann, back",,1941-03-17,,,,,,,,,Image;StillImage,image/jpeg,,,,image,/objects/WIHWWII1941_20240831_0002.jpg,WIHWWII1941_20240831_0002,/objects/small/wihwwii1941_20240831_0002_sm.jpg,/objects/thumbs/wihwwii1941_20240831_0002_th.jpg,,
wiharchive092,,Victor and W.I. (Bill) Hann with a Salvation Army Officer,Christopher Crocker,1941-03-17,,"A photo of Victor and W.I. (Bill) Hann seated and drinking tea or coffee with a Salvation Army Officer at the Red Shield Club in Norwich, England",1 black and white photograph; 16.5 x 12 cm,Photograph,"Norwich, England",52.630886,1.297355,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,/objects/small/wihwwii1941_20240831_0003_sm.jpg,/objects/thumbs/wihwwii1941_20240831_0003_th.jpg,,
wiharchive093,wiharchive092,"Victor and W.I. (Bill) Hann with a Salvation Army Officer, front",,1941-03-17,,,,,,,,,Image;StillImage,image/jpeg,,,,image,/objects/WIHWWII1941_20240831_0003.jpg,WIHWWII1941_20240831_0003,/objects/small/wihwwii1941_20240831_0003_sm.jpg,/objects/thumbs/wihwwii1941_20240831_0003_th.jpg,,
wiharchive094,wiharchive092,"Victor and W.I. (Bill) Hann with a Salvation Army Officer, back",,1941-03-17,,,,,,,,,Image;StillImage,image/jpeg,,,,image,/objects/WIHWWII1941_20240831_0004.jpg,WIHWWII1941_20240831_0004,/objects/small/wihwwii1941_20240831_0004_sm.jpg,/objects/thumbs/wihwwii1941_20240831_0004_th.jpg,,
wiharchive095,,W.I. (Bill) Hann and Mrs. Packer in her garden,Christopher Crocker,1941-06-15,,"A photo of W.I. (Bill) Hann and Adelaide Lilian (née Ditchburn) Packer standing in the garden of her house [40 Ridham Avenue] in Kemsley, Kent, England",1 black and white photograph; 6 x 6 cm,Photograph,"Kemsley, England",51.363937,0.740970,Private family collection,record,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,multiple,,,/objects/small/wihwwii1941_20240831_0005_sm.jpg,/objects/thumbs/wihwwii1941_20240831_0005_th.jpg,,
wiharchive096,wiharchive095,"W.I. (Bill) Hann and Mrs. Packer in her garden, front",,1941-06-15,,,,,,,,,Image;StillImage,image/jpeg,,,,image,/objects/WIHWWII1941_20240831_0005.jpg,WIHWWII1941_20240831_0005,/objects/small/wihwwii1941_20240831_0005_sm.jpg,/objects/thumbs/wihwwii1941_20240831_0005_th.jpg,,
wiharchive097,wiharchive095,"W.I. (Bill) Hann and Mrs. Packer in her garden, back",,1941-06-15,,,,,,,,,Image;StillImage,image/jpeg,,,,image,/objects/WIHWWII1941_20240831_0006.jpg,WIHWWII1941_20240831_0006,/objects/small/wihwwii1941_20240831_0006_sm.jpg,/objects/thumbs/wihwwii1941_20240831_0006_th.jpg,,
